run_id,start_ts,end_ts,status,source,records_read,records_written,duplicates_removed,watermark_before,watermark_after,error_message,,
6846864f-65f2-4918-a4b6-ecf64888e647,2026-09-12T14:01:33.093860+00:00,2026-09-12T14:01:35.147871+00:00,FAILURE,api,0,0,0,2026-08-21T10:00:00,2026-08-21T10:00:00,HTTPConnectionPool(host='127.0.0.1'," port=8000): Max retries exceeded with url: /api/events?page=1&per_page=20&updated_after=2026-08-21T10%3A00%3A00 (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1'"," port=8000): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))"
8286c850-2ba7-476d-8619-261558c2379f,2026-09-12T14:06:44.991633+00:00,2026-09-12T14:06:45.024681+00:00,SUCCESS,files,3,0,3,,,,,
8794f286-a388-4aa1-8cf3-afee3bd04ece,2026-09-12T14:06:45.028964+00:00,2026-09-12T14:06:45.128742+00:00,SUCCESS,api,122,120,0,,2026-08-21T10:00:00,,,
2e3d7343-ac67-43c3-8e0a-0571e3d0d6f6,2026-09-12T14:07:37.964128+00:00,2026-09-12T14:07:37.975607+00:00,SUCCESS,files,3,0,3,,,,,
1f60c374-77de-485d-809f-eac4d94f7fed,2026-09-12T14:07:37.976714+00:00,2026-09-12T14:07:37.994198+00:00,SUCCESS,api,0,0,0,2026-08-21T10:00:00,2026-08-21T10:00:00,,,
25424c2d-4b0f-4b8f-b838-3172a890c23a,2026-09-12T14:07:56.930780+00:00,2026-09-12T14:07:56.935313+00:00,SUCCESS,files,3,0,3,,,,,
550d8a76-7bec-4a8d-beaa-c0294d4e4144,2026-09-12T14:07:56.936297+00:00,2026-09-12T14:07:58.986625+00:00,FAILURE,api,0,0,0,2026-08-21T10:00:00,2026-08-21T10:00:00,HTTPConnectionPool(host='127.0.0.1'," port=8000): Max retries exceeded with url: /api/events?page=1&per_page=20&updated_after=2026-08-21T10%3A00%3A00 (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1'"," port=8000): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))"
2c0d1b2f-cab2-46f8-b285-976b21870c1c,2026-09-12T14:08:24.114371+00:00,2026-09-12T14:08:24.120265+00:00,SUCCESS,files,3,0,3,,,,,
43125033-dbc5-4bc6-a326-eeba5c8fc90e,2026-09-12T14:08:24.121446+00:00,2026-09-12T14:08:26.171711+00:00,FAILURE,api,0,0,0,2026-08-21T10:00:00,2026-08-21T10:00:00,HTTPConnectionPool(host='127.0.0.1'," port=8000): Max retries exceeded with url: /api/events?page=1&per_page=20&updated_after=2026-08-21T10%3A00%3A00 (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1'"," port=8000): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))"
8eb45d16-7388-4f45-b8c8-817659842550,2026-09-12T14:14:39.152917+00:00,2026-09-12T14:14:39.158034+00:00,SUCCESS,files,3,0,3,,,,,
aab28769-f2e4-4da4-9f88-e7f03bae353b,2026-09-12T14:14:39.158890+00:00,2026-09-12T14:14:39.178053+00:00,SUCCESS,api,0,0,0,2026-08-21T10:00:00,2026-08-21T10:00:00,,,
40e97c23-eab9-4900-98fb-0538524b6f21,2026-09-12T14:25:02.922292+00:00,2026-09-12T14:25:02.936402+00:00,SUCCESS,files,3,3,0,,,
f185341b-0416-4e43-8755-c9b1b8eedd7f,2026-09-12T14:25:02.937293+00:00,2026-09-12T14:25:04.969047+00:00,FAILURE,api,0,0,0,,,HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/events?page=1&per_page=20 (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
e65b2743-e1b6-4497-8172-63352592ad50,2026-09-12T14:26:40.631375+00:00,2026-09-12T14:26:40.646399+00:00,SUCCESS,files,3,0,3,,,
04355484-5443-4e02-bf8a-4b2e2aa1df58,2026-09-12T14:26:40.647145+00:00,2026-09-12T14:26:40.713516+00:00,SUCCESS,api,122,120,0,,2026-08-21T10:00:00,
